,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
21,21,0.0,4.75,88,4.83,4.71,1.0,1244.0,22,0%,False,Private room,within a few hours
1062,1062,15.0,4.93,365,4.8,4.73,1.0,748.0,1063,100%,True,Private room,within an hour
2670,2670,1.0,4.8,358,4.9,4.8,1.0,181.0,2671,100%,False,Private room,within a day
2805,2805,17.0,4.65,27,4.65,4.65,1.0,400.0,2806,100%,False,Private room,within a day
3065,3065,6.0,4.8,0,5.0,4.8,1.0,600.0,3066,100%,True,Private room,within a few hours
3257,3257,20.2,4.94,282,4.98,4.9,1.0,508.0,3258,100%,True,Private room,within an hour
3359,3359,20.2,4.46,86,4.88,4.39,1.0,765.0,3360,98%,True,Private room,within an hour
3372,3372,20.2,4.8,90,4.9,4.47,1.0,822.0,3373,98%,True,Private room,within an hour
3455,3455,85.0,4.86,24,4.95,4.87,1.0,375.0,3456,83%,True,Private room,within an hour
3571,3571,0.0,4.75,179,4.83,4.71,1.0,1000.0,3572,100%,False,Private room,No information
3605,3605,2.0,5.0,363,5.0,4.8,1.5,1062.7,3606,100%,True,Private room,within a day
4303,4303,82.0,4.82,354,4.93,4.76,1.0,526.0,4304,100%,True,Private room,within an hour
5667,5667,10.0,5.0,147,5.0,4.8,1.0,579.0,5668,100%,True,Private room,within an hour
6244,6244,29.0,4.97,87,4.97,4.9,1.0,1757.0,6245,100%,True,Private room,within a few hours
11127,11127,27.0,4.93,75,4.78,4.89,1.0,320.0,11128,98%,False,Private room,within an hour
11919,11919,4.0,5.0,178,5.0,4.5,1.0,450.0,11920,100%,True,Private room,within an hour
12298,12298,20.2,4.91,319,4.93,4.86,1.0,339.0,12299,100%,True,Private room,within an hour
12711,12711,1.0,5.0,365,5.0,5.0,1.0,750.0,12712,94%,True,Private room,within an hour
12840,12840,11.0,4.82,278,4.9,4.8,1.0,1081.0,12841,100%,True,Private room,within an hour
12863,12863,62.0,4.79,340,4.97,4.85,1.0,364.0,12864,100%,True,Private room,within an hour
13673,13673,57.0,4.88,88,4.93,4.7,1.0,640.0,13674,98%,True,Private room,within an hour
13674,13674,49.0,4.96,89,4.96,4.82,1.0,733.0,13675,98%,True,Private room,within an hour
13680,13680,57.0,4.91,88,5.0,4.63,1.0,712.0,13681,98%,True,Private room,within an hour
13713,13713,64.0,4.98,90,5.0,4.89,1.0,739.0,13714,98%,True,Private room,within an hour
14804,14804,1.0,5.0,360,4.9,4.8,1.0,514.0,14805,100%,True,Private room,within an hour
14918,14918,23.0,4.65,354,4.96,4.57,1.0,1491.0,14919,99%,True,Private room,within an hour
15030,15030,0.0,4.75,365,4.83,4.71,1.0,400.0,15031,65%,False,Private room,within a few hours
15092,15092,7.0,5.0,362,5.0,5.0,1.5,450.0,15093,38%,True,Private room,within an hour
15357,15357,21.0,4.81,348,4.95,4.86,1.0,1491.0,15358,99%,True,Private room,within an hour
16016,16016,38.0,4.95,250,4.97,4.84,1.0,771.0,16017,100%,True,Private room,No information
16934,16934,17.0,4.88,87,4.94,4.76,1.0,243.0,16935,100%,True,Private room,within an hour
16935,16935,5.0,4.8,88,5.0,4.8,1.0,234.0,16936,100%,True,Private room,within an hour
17154,17154,0.0,4.75,365,4.83,4.71,1.0,3000.0,17155,44%,False,Private room,a few days or more
17251,17251,1.0,5.0,272,5.0,5.0,1.0,1800.0,17252,82%,True,Private room,within an hour
18954,18954,1.0,5.0,365,5.0,5.0,1.0,900.0,18955,100%,True,Private room,within an hour
19583,19583,0.0,4.75,325,4.83,4.71,1.0,1486.0,19584,100%,True,Private room,within an hour
19757,19757,9.0,4.8,360,4.67,4.56,1.0,600.0,19758,100%,True,Private room,within an hour
19920,19920,12.0,4.92,362,5.0,4.83,1.0,402.0,19921,100%,True,Private room,within an hour
20376,20376,3.0,5.0,346,5.0,4.67,1.0,220.0,20377,100%,True,Private room,within a few hours
20856,20856,5.0,4.8,67,5.0,4.4,1.0,450.0,20857,100%,True,Private room,within an hour
20858,20858,4.0,4.75,363,4.9,4.8,1.0,600.0,20859,100%,True,Private room,within an hour
20864,20864,2.0,5.0,83,5.0,5.0,1.0,500.0,20865,100%,True,Private room,within an hour
22715,22715,0.0,4.75,365,4.83,4.71,1.0,529.0,22716,100%,True,Private room,within an hour
